month,day,year,daily_cum_cubic_m_across_basin,basin_area,avg_mm_rainfall,avg_cum_in_rainfall,avg_cum_acre_ft
1,1,2025,0,1422409674,0,0,0
1,2,2025,0,1422409674,0,0,0
1,3,2025,0,1422409674,0,0,0
1,4,2025,0,1422409674,0,0,0
1,5,2025,0,1422409674,0,0,0
1,6,2025,0,1422409674,0,0,0
1,7,2025,0,1422409674,0,0,0
1,8,2025,0,1422409674,0,0,0
1,9,2025,0,1422409674,0,0,0
1,10,2025,38387912.6718,1422409674,26.98794403151676,1.062515356520815,31121.58752347553
1,11,2025,38387912.6718,1422409674,26.98794403151676,1.062515356520815,31121.58752347553
1,12,2025,38387912.6718,1422409674,26.98794403151676,1.062515356520815,31121.58752347553
1,13,2025,38387912.6718,1422409674,26.98794403151676,1.062515356520815,31121.58752347553
1,14,2025,38387912.6718,1422409674,26.98794403151676,1.062515356520815,31121.58752347553
1,15,2025,38390236.6625,1422409674,26.989577872134184,1.062579680825923,31123.471613412694
1,16,2025,38390236.6625,1422409674,26.989577872134184,1.062579680825923,31123.471613412694
1,17,2025,38419315.438600004,1422409674,27.0100211921084,1.0633845343333077,31147.04616103681
1,18,2025,38658298.292,1422409674,27.178033866493518,1.06999919332385,31340.792714861855
1,19,2025,38658298.292,1422409674,27.178033866493518,1.06999919332385,31340.792714861855
1,20,2025,38658298.292,1422409674,27.178033866493518,1.06999919332385,31340.792714861855
1,21,2025,43684442.1381,1422409674,30.711575530313777,1.2091147286284534,35415.55387599389
1,22,2025,44422105.6088,1422409674,31.230176805448245,1.2295320608304974,36013.587388848195
1,23,2025,44422105.6088,1422409674,31.230176805448245,1.2295320608304974,36013.587388848195
1,24,2025,44422105.6088,1422409674,31.230176805448245,1.2295320608304974,36013.587388848195
1,25,2025,44422105.6088,1422409674,31.230176805448245,1.2295320608304974,36013.587388848195
1,26,2025,47785217.8593,1422409674,33.594553476933115,1.3226175703868568,38740.106883410255
1,27,2025,49578960.0429,1422409674,34.855612239670414,1.3722654538758243,40194.3173490516
1,28,2025,49921690.173200004,1422409674,35.09656260479005,1.3817516697505845,40472.17318972353
1,29,2025,51438732.0928,1422409674,36.16309213375049,1.4237409373057568,41702.059098896585
1,30,2025,68349021.414,1422409674,48.05157238687341,1.8917904048712062,55411.45386741246
1,31,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,1,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,2,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,3,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,4,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,5,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,6,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,7,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,8,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,9,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,10,2025,86979711.07540001,1422409674,61.149549715028165,2.407457772280659,70515.59990101297
2,11,2025,88359434.0552,1422409674,62.11953958856441,2.4456462736017808,71634.15953308016
2,12,2025,143016681.8273,1422409674,100.54535232815071,3.9584705211592937,115945.51177759224
2,13,2025,143370126.54230002,1422409674,100.79383539281245,3.9682532994150264,116232.05407351298
2,14,2025,143370126.54230002,1422409674,100.79383539281245,3.9682532994150264,116232.05407351298
2,15,2025,143938135.29930001,1422409674,101.19316391776735,3.983974863442501,116692.54627052847
2,16,2025,143954086.341,1422409674,101.20437801592173,3.9844163624868387,116705.47799058839
2,17,2025,143954086.341,1422409674,101.20437801592173,3.9844163624868387,116705.47799058839
2,18,2025,143954086.341,1422409674,101.20437801592173,3.9844163624868387,116705.47799058839
2,19,2025,145137063.9233,1422409674,102.03604951248384,4.0171592693064895,117664.5335318631
2,20,2025,145137063.9233,1422409674,102.03604951248384,4.0171592693064895,117664.5335318631
2,21,2025,145137063.9233,1422409674,102.03604951248384,4.0171592693064895,117664.5335318631
2,22,2025,145138083.3035,1422409674,102.03676616973007,4.017187484102273,117665.35995684705
2,23,2025,148971877.8185,1422409674,104.7320476945097,4.123300717732847,120773.46777624516
2,24,2025,148971877.8185,1422409674,104.7320476945097,4.123300717732847,120773.46777624516
2,25,2025,148971877.8185,1422409674,104.7320476945097,4.123300717732847,120773.46777624516
2,26,2025,148971877.8185,1422409674,104.7320476945097,4.123300717732847,120773.46777624516
2,27,2025,148971877.8185,1422409674,104.7320476945097,4.123300717732847,120773.46777624516
2,28,2025,148971877.8185,1422409674,104.7320476945097,4.123300717732847,120773.46777624516
3,1,2025,148971877.8185,1422409674,104.7320476945097,4.123300717732847,120773.46777624516
3,2,2025,148971877.8185,1422409674,104.7320476945097,4.123300717732847,120773.46777624516
3,3,2025,148971877.8185,1422409674,104.7320476945097,4.123300717732847,120773.46777624516
3,4,2025,152460601.4501,1422409674,107.18473322904299,4.219862947227423,123601.82207553521
3,5,2025,155070797.7345,1422409674,109.01978562787812,4.2921089601695614,125717.94265788923
