month,day,year,daily_cum_cubic_m_across_basin,basin_area,avg_mm_rainfall,avg_cum_in_rainfall,avg_cum_acre_ft
1,1,2025,0,1701207646,0,0,0
1,2,2025,0,1701207646,0,0,0
1,3,2025,0,1701207646,0,0,0
1,4,2025,0,1701207646,0,0,0
1,5,2025,0,1701207646,0,0,0
1,6,2025,0,1701207646,0,0,0
1,7,2025,0,1701207646,0,0,0
1,8,2025,0,1701207646,0,0,0
1,9,2025,0,1701207646,0,0,0
1,10,2025,39866978.6683,1701207646,23.434516510690546,0.9226169150258868,32320.68585050923
1,11,2025,39866978.6683,1701207646,23.434516510690546,0.9226169150258868,32320.68585050923
1,12,2025,39866978.6683,1701207646,23.434516510690546,0.9226169150258868,32320.68585050923
1,13,2025,39866978.6683,1701207646,23.434516510690546,0.9226169150258868,32320.68585050923
1,14,2025,39866978.6683,1701207646,23.434516510690546,0.9226169150258868,32320.68585050923
1,15,2025,39866978.6683,1701207646,23.434516510690546,0.9226169150258868,32320.68585050923
1,16,2025,39866978.6683,1701207646,23.434516510690546,0.9226169150258868,32320.68585050923
1,17,2025,39866978.6683,1701207646,23.434516510690546,0.9226169150258868,32320.68585050923
1,18,2025,40624102.769200005,1701207646,23.879567473564016,0.9401385714342154,32934.496353147
1,19,2025,40624102.769200005,1701207646,23.879567473564016,0.9401385714342154,32934.496353147
1,20,2025,40624102.769200005,1701207646,23.879567473564016,0.9401385714342154,32934.496353147
1,21,2025,40702229.3199,1701207646,23.925491644480886,0.9419466060432126,32997.83457906995
1,22,2025,40702229.3199,1701207646,23.925491644480886,0.9419466060432126,32997.83457906995
1,23,2025,40702229.3199,1701207646,23.925491644480886,0.9419466060432126,32997.83457906995
1,24,2025,40702229.3199,1701207646,23.925491644480886,0.9419466060432126,32997.83457906995
1,25,2025,40702229.3199,1701207646,23.925491644480886,0.9419466060432126,32997.83457906995
1,26,2025,42234441.4969,1701207646,24.82615311317499,0.9774056480656994,34240.01921616459
1,27,2025,42603547.2874,1701207646,25.04312003744662,0.9859476358742735,34539.258152719376
1,28,2025,42643754.9425,1701207646,25.06675480960071,0.98687813685398,34571.855029449995
1,29,2025,42723612.5437,1701207646,25.113696522675987,0.9887262320977537,34636.596640863165
1,30,2025,62087944.1113,1701207646,36.496393757273296,1.4368630222238497,50335.51585189318
1,31,2025,62590752.4274,1701207646,36.791953395323496,1.448499205173886,50743.14919082522
