month,day,year,daily_cum_cubic_m_across_basin,basin_area,avg_mm_rainfall,avg_cum_in_rainfall,avg_cum_acre_ft
1,1,2025,0,1057302977,0,0,0
1,2,2025,0,1057302977,0,0,0
1,3,2025,0,1057302977,0,0,0
1,4,2025,0,1057302977,0,0,0
1,5,2025,0,1057302977,0,0,0
1,6,2025,0,1057302977,0,0,0
1,7,2025,0,1057302977,0,0,0
1,8,2025,0,1057302977,0,0,0
1,9,2025,0,1057302977,0,0,0
1,10,2025,30778450.7233,1057302977,29.110341494195943,1.1460741446264944,24952.496276928854
1,11,2025,30778450.7233,1057302977,29.110341494195943,1.1460741446264944,24952.496276928854
1,12,2025,30778450.7233,1057302977,29.110341494195943,1.1460741446264944,24952.496276928854
1,13,2025,30778450.7233,1057302977,29.110341494195943,1.1460741446264944,24952.496276928854
1,14,2025,30778450.7233,1057302977,29.110341494195943,1.1460741446264944,24952.496276928854
1,15,2025,30778450.7233,1057302977,29.110341494195943,1.1460741446264944,24952.496276928854
1,16,2025,30778450.7233,1057302977,29.110341494195943,1.1460741446264944,24952.496276928854
1,17,2025,30779847.7658,1057302977,29.111662820750762,1.1461261652529575,24953.628877724568
1,18,2025,31104730.2781,1057302977,29.418937574882097,1.1582235723231082,25217.01541889534
1,19,2025,31104730.2781,1057302977,29.418937574882097,1.1582235723231082,25217.01541889534
1,20,2025,31104730.2781,1057302977,29.418937574882097,1.1582235723231082,25217.01541889534
1,21,2025,33482055.894500002,1057302977,31.66741853834769,1.2467462678547485,27144.34467680896
1,22,2025,33547089.6292,1057302977,31.728927619580517,1.249167880382885,27197.068383975544
1,23,2025,33547089.6292,1057302977,31.728927619580517,1.249167880382885,27197.068383975544
1,24,2025,33547089.6292,1057302977,31.728927619580517,1.249167880382885,27197.068383975544
1,25,2025,33547089.6292,1057302977,31.728927619580517,1.249167880382885,27197.068383975544
1,26,2025,34603139.7612,1057302977,32.72774267540912,1.288491229130857,28053.22216584969
1,27,2025,34772237.8892,1057302977,32.88767613977881,1.2947878096230918,28190.31225031458
